date,rate_under20,rate_20,rate_30,rate_40,rate_50,rate_over60
2011. 04,6.158947918,19.61205624,21.96773192,20.52922071,17.51288982,14.2191534
2011. 05,5.074499305,20.90406989,22.06367975,20.5006341,17.81780141,13.63931554
2011. 06,7.927227332,21.44024945,21.46845258,20.56165749,16.543785,12.05862815
2011. 07,14.75029406,20.03975291,20.68350509,20.7816116,14.43339346,9.311442867
2011. 08,15.8170102,23.4666624,19.72941639,19.94710894,13.22859547,7.811206593
2011. 09,6.202866462,23.81771441,21.23854245,19.64705416,17.12979818,11.96402434
2011. 10,5.580846572,19.76842913,20.91860583,20.12600345,18.41276293,15.19335208
2011. 11,5.133157913,20.95016124,21.96136572,20.73871014,17.91309398,13.30351101
2011. 12,10.66119905,22.30524905,22.2039528,20.92579753,14.95684674,8.946954839
2012. 01,10.45471001,22.75686486,22.30093826,20.62441025,14.88104069,8.982035928
2012. 02,6.07069372,28.1258261,21.44562388,19.6895908,15.24547944,9.422786052
2012. 03,9.004999469,22.99627113,20.12014607,20.1436194,16.03683794,11.69812599
2012. 04,6.222829379,18.65345877,21.16706371,20.24466458,17.80687941,15.90510415
2012. 05,5.348170772,20.14837439,20.96342015,20.10489428,18.00995447,15.42518594
2012. 06,8.316346335,20.54547441,20.76035897,20.65599643,16.8320042,12.88981966
2012. 07,15.86982957,18.61617314,20.48613388,20.91351969,14.2597409,9.854602811
2012. 08,17.51474989,21.97650942,19.35524556,20.21953271,12.89747229,8.036490138
2012. 09,6.366027044,23.41822048,20.78213807,19.91098443,17.39660565,12.12602433
2012. 10,5.888535638,20.39759789,21.37735388,20.71508926,18.10483411,13.51658922
2012. 11,5.72479471,21.03546199,22.75901544,21.98739964,17.28495023,11.20837799
2012. 12,11.01518728,23.32830687,22.42604391,21.19416615,14.3260726,7.710223191
2013. 01,8.813924177,23.23518325,23.38566237,21.12891732,15.0717647,8.36454818
2013. 02,9.581066144,26.51009489,21.4411581,19.90276228,14.4157193,8.149199297
2013. 03,8.703609479,23.19074335,20.7983177,20.23474194,16.04350752,11.02908002
2013. 04,5.616406515,19.87272688,21.91784883,19.96072227,17.87859957,14.75369592
